OBJECTID,Address,Parcel,Units,Stories,UniqueID,Building_Name,Complex_Name,Case_Number,Building_Type,Status,Last_Date,Comments,Safety_Comments,Fire_Alarms,Sprinkler,Managing_Company,MFRecyclingStatus,ShapeSTArea,ShapeSTLength,Shape
2027,3814 Thornhill Dr,4.42016E+11,10,2,222,3814 Thornhill Dr,Cobblefield Point Condos,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1156.731567,171.5981306,
2028,3816 Thornhill Dr,4.42016E+11,10,2,222,3816 Thornhill Dr,Cobblefield Point Condos,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1224.1875,154.7796345,
2029,3820 Thornhill Dr,4.42016E+11,10,2,222,3820 Thornhill Dr,Cobblefield Point Condos,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,918.4024658,170.1124713,
2030,741 S Mattis Ave,4.42015E+11,7,2,230,741 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,665.3483887,108.2408934,
2031,743 S Mattis Ave,4.42015E+11,7,2,230,743 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,830.6220703,117.620849,
2032,745 S Mattis Ave,4.42015E+11,7,2,230,745 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,657.4272461,107.7914458,
2033,747 S Mattis Ave,4.42015E+11,7,2,230,747 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,748.3706055,112.9528648,
2034,749 S Mattis Ave,4.42015E+11,7,2,230,749 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,830.4526367,117.6113016,
2035,753 S Mattis Ave,4.42015E+11,7,2,230,753 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,595.0229492,104.2497862,
2036,725 S Mattis Ave,4.42015E+11,8,2,231,725 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,667.9487305,108.0532484,
2037,727 S Mattis Ave,4.42015E+11,8,2,231,727 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,805.6333008,115.9496562,
2038,729 S Mattis Ave,4.42015E+11,8,2,231,729 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,692.8393555,109.4807588,
2039,731 S Mattis Ave,4.42015E+11,8,2,231,731 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,710.0354004,110.466988,
2040,733 S Mattis Ave,4.42015E+11,8,2,231,733 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,675.4371338,108.4827188,
2041,735 S Mattis Ave,4.42015E+11,8,2,231,735 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,762.0362549,113.4493036,
2042,739 S Mattis Ave,4.42015E+11,8,2,231,739 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,673.7764893,108.3875696,
2043,723 S Mattis Ave,4.42015E+11,12,2,236,723 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,789.5126953,115.093225,
2044,719 S Mattis Ave,4.42015E+11,12,2,236,719 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,804.932373,115.9751327,
2045,721 S Mattis Ave,4.42015E+11,12,2,236,721 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,713.2277832,110.7302638,
2046,717 S Mattis Ave,4.42015E+11,12,2,236,717 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,653.0484619,107.7996094,
2047,715 S Mattis Ave,4.42015E+11,12,2,236,715 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,679.8687744,108.9656441,
2048,713 S Mattis Ave,4.42015E+11,12,2,236,713 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,615.5438232,104.7314365,
2049,711 S Mattis Ave,4.42015E+11,12,2,236,711 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,674.9863281,108.1724601,
2050,709 S Mattis Ave,4.42015E+11,12,2,236,709 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,749.2252197,112.470132,
2051,707 S Mattis Ave,4.42015E+11,12,2,236,707 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,659.361084,107.2682387,
2052,705 S Mattis Ave,4.42015E+11,12,2,236,705 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,659.9960938,107.3049878,
2053,701 S Mattis Ave,4.42015E+11,12,2,236,701 S Mattis Ave,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,721.4227295,110.8608423,
2054,1827 W John St,4.42015E+11,2,2,241,1827 W John St,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,758.4274902,113.0188518,
2055,1823 W John St,4.42015E+11,8,2,242,1823 W John St,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,809.7753906,116.5866197,
2056,1821 W John St,4.42015E+11,8,2,242,1821 W John St,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,707.3054199,110.805606,
2057,1819 W John St,4.42015E+11,8,2,242,1819 W John St,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,754.9594727,113.4939793,
