OBJECTID,Address,Parcel,Units,Stories,UniqueID,Building_Name,Complex_Name,Case_Number,Building_Type,Status,Last_Date,Comments,Safety_Comments,Fire_Alarms,Sprinkler,Managing_Company,MFRecyclingStatus,ShapeSTArea,ShapeSTLength,Shape
1112,912 Newcastle Dr,4.12009E+11,8,2,,912 Newcastle Dr,Wellington Apartments,AI07-0114,Complex,,2007/08/09 00:00:00+00,,,,,,Yes,4558.764404,280.505398,
1113,307 E John St,4.62118E+11,,3,,307 E John St,,,House,,1970/01/01 00:00:00+00,,,,,,,3195.155029,260.4196486,
1114,606 Stoughton St,462107386007 & 462107386008 & 462107386009,24,4,,606 Stoughton St,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,9361.039185,481.5684412,
1115,507 E Green St,4.62118E+11,,7,,507 E Green,,,Building,,1970/01/01 00:00:00+00,,,,,,,9926.17395,477.0916372,
1116,1004 S First St,4.62118E+11,1,5,,1004 S First St,,,Building,,1970/01/01 00:00:00+00,,,,,,,976.7923584,142.4955689,
1117,101 E Chalmers St,4.62118E+11,1,3,,101 E Chalmers St,,,Building,,1970/01/01 00:00:00+00,,,,,,,1686.252808,183.9722154,
1118,25 E John St,432013278001 & 432013278002 & 432013278003,4,4,,The Distillery,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,5475.168335,316.7670051,
1119,779 Prestwick Pt,4.42016E+11,12,2,,779 Prestwick Pt,Prestwick Point,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,925.4888916,140.6809458,
1120,754 Prestwick Pt,4.42016E+11,12,2,,754 Prestwick Pt,Prestwick Point,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,741.0338135,137.3047796,
1121,206 E Springfield Ave,4.62107E+11,2,1,,206 E Springfield Ave        ,,,House,,1970/01/01 00:00:00+00,,,,,,,1424.239258,167.8719589,
1122,203 S Third St              ,462107356007 & 462107356008,10,2,,203 S Third St              ,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,4675.702881,343.3506699,
1123,205 E Clark St     ,4.62107E+11,12,3,,205 E Clark St     ,,AI11-0015,Building,,2011/04/22 00:00:00+00,,,,,,Yes,4056.987549,282.3414423,
1124,308 N State St     ,4.22012E+11,16,3,,308 N State St     ,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,3520.859863,237.876772,
1125,310 W Washington St,4.22012E+11,8,2,,310 W Washington St,,AI11-0009,Building,,1970/01/01 00:00:00+00,,,,,,Yes,4133.313232,314.4980705,
1128,316 Cedar St,4.32013E+11,4,2,,316 Cedar,,AI09-0106,Building,,2009/11/18 00:00:00+00,,,,,,Yes,2775.343872,231.9469979,
1129,512 E Church St,4.62107E+11,6,2,,512 E Church St,,AI11-0026,Building,,2011/03/09 00:00:00+00,,,,,,Yes,2241.297729,212.0857658,
1132,2715 Hunters Pond Run,4.11436E+11,36,2,,2715 Hunters Pond Run,Hunters Pond Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,3238.859009,299.159399,
1133,2758 Hunters Pond Run,4.11436E+11,36,2,,2758 Hunters Pond Run,Hunters Pond Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,3356.598999,292.6306665,
1134,2704 Hunters Pond Run,4.11436E+11,30,2,,2704 Hunters Pond Run,Hunters Pond Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,2557.482056,212.6519703,
1135,2712 Hunters Pond Run,4.11436E+11,36,2,,2712 Hunters Pond Run,Hunters Pond Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,2154.451538,203.8993516,
1136,2703 Hunters Pond Run,4.11436E+11,36,2,,2703 Hunters Pond Run,Hunters Pond Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,2140.40686,194.5406072,
1137,2755 Hunters Pond Run,4.11436E+11,36,2,,2755 Hunters Pond Run,Hunters Pond Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,2120.920288,202.2010258,
1138,2765 Hunters Pond Run,4.11436E+11,36,2,,2765 Hunters Pond Run,Hunters Pond Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,2614.425415,217.1651004,
1139,2775 Hunters Pond Run,4.11436E+11,36,2,,2775 Hunters Pond Run,Hunters Pond Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,2317.142822,200.0193586,
1140,2734 Hunters Pond Run,4.11436E+11,36,2,,2734 Hunters Pond Run,Hunters Pond Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,2332.838745,199.8863603,
1141,2746 Hunters Pond Run,4.11436E+11,36,2,,2746 Hunters Pond Run,Hunters Pond Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,2858.551025,227.9835672,
1142,2754 Hunters Pond Run,4.11436E+11,30,2,,2754 Hunters Pond Run,Hunters Pond Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,2399.714111,205.7881117,
1143,2504 Fields South Drive,4.62028E+11,24,2,,2504 Fields South Drive,Windsor West Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,12168.04932,560.0401331,
1144,2506 Fields South Drive,4.62028E+11,24,2,,2506 Fields South Drive,Windsor West Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,11534.36707,519.7151592,
1145,2508 Fields South Drive,4.62028E+11,24,2,,2508 Fields South Drive,Windsor West Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,12066.62427,563.2952112,
1146,2510 Fields South Drive,4.62028E+11,16,2,,2510 Fields South Drive,Windsor West Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,11048.9668,517.5409865,
1147,2512 Fields South Drive,4.62028E+11,16,2,,2512 Fields South Drive,Windsor West Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,14660.25122,655.0286,
1148,2514 Fields South Drive,4.62028E+11,16,2,,2514 Fields South Drive,Windsor West Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,12639.17749,592.0656601,
1149,2516 Fields South Drive,4.62028E+11,16,2,,2516 Fields South Drive,Windsor West Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,14631.97595,641.5531033,
1150,2518 Fields South Drive,4.62028E+11,16,2,,2518 Fields South Drive,Windsor West Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,14466.33301,636.3368983,
1151,2520 Fields South Drive,4.62028E+11,16,2,,2520 Fields South Drive,Windsor West Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,12617.54028,594.7312286,
1152,2522 Fields South Drive,4.62028E+11,16,2,,2522 Fields South Drive,Windsor West Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,12697.24841,623.8260473,
1153,2004 W Bradley Ave,4.12003E+11,9,3,,2004 W Bradley,Parkland Point Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,4212.443604,350.9171689,
1154,2012 W Bradley Ave,4.12003E+11,24,3,,2012 W Bradley,Parkland Point Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,11995.23767,676.53224,
1155,2006 W Bradley Ave,4.12003E+11,22,3,,2006 W Bradley,Parkland Point Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7336.937988,387.9073101,
1156,2008 W Bradley Ave,4.12003E+11,22,3,,2008 W Bradley,Parkland Point Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,6668.232178,422.8376691,
1157,2010 W Bradley Ave,4.12003E+11,26,3,,2010 W Bradley,Parkland Point Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,13577.29126,678.3032628,
1158,2008 W Bradley Ave,4.12003E+11,30,3,,2008 W Bradley,Parkland Point Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,16431.39587,822.9069373,
1159,307 E Daniel St,4.62118E+11,10,6,,307 E Daniel,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,4204.653687,279.0854411,
1160,403 W Hill St,4.22012E+11,4,2,,403 W Hill,,,House,,1970/01/01 00:00:00+00,,,,,,,2214.271729,217.0778869,
1161,307 N Prarie St,4.22012E+11,15,3,,307 N Prarie,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,1592.00415,164.6717793,
1162,410 N State St,4.22012E+11,17,3,,410 N State St,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,2054.392822,215.7740024,
1163,812 W Green St,4.32013E+11,6,3,,812 W Green,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,3906.834961,386.8045034,
1164,603 W University Ave,4.22012E+11,,1,,603 W University,,,House,,1970/01/01 00:00:00+00,,,,,,,1617.387817,192.1217093,
1165,509 W University Ave,4.22012E+11,3,2,,509 W University,,,House,,1970/01/01 00:00:00+00,,,,,,,2354.463989,217.0152012,
1166,207 W Columbia Ave,4.22012E+11,3,2,,207 W Columbia,,,House,,1970/01/01 00:00:00+00,,,,,,,2165.00293,210.0716058,
1167,205 W Columbia Ave,4.22012E+11,5,2,,205 W Columbia,,,House,,1970/01/01 00:00:00+00,,,,,,Yes,1533.117798,159.4937497,
1168,210 W Columbia Ave,4.22012E+11,3,2,,Richard Place Townhomes,,,Building,,1970/01/01 00:00:00+00,,,,,,,2242.67627,212.6445896,
1169,208 W Columbia Ave,4.22012E+11,3,2,,Richard Place Townhomes,,,Building,,1970/01/01 00:00:00+00,,,,,,,1536.476563,171.1854679,
1170,304 W Washington St,4.22012E+11,5,2,,304 W Washington,,,House,,1970/01/01 00:00:00+00,,,,,,,2954.908203,231.4691835,
1171,307 W Columbia Ave,4.22012E+11,2,2,,307 W Columbia,,,House,,1970/01/01 00:00:00+00,,,,,,,1785.84729,214.815099,
1172,507 N Prarie St,4.22012E+11,4,2,,507 N Prarie,,,House,,1970/01/01 00:00:00+00,,,,,,,2061.252686,234.4138045,
1173,412 W Washington St,4.22012E+11,4,2,,412 W Washington,,,House,,1970/01/01 00:00:00+00,,,,,,,1837.438354,191.0943915,
1174,408 W Washington St,4.22012E+11,4,2,,408 W Washington,,,House,,1970/01/01 00:00:00+00,,,,,,,1995.260254,193.4311484,
1175,402 W Washington St,4.22012E+11,5,2,,402 W Washington,,,House,,1970/01/01 00:00:00+00,,,,,,Yes,2038.969238,206.3339572,
1176,504 W Washington St,4.22012E+11,4,2,,504 W Washington,,,House,,1970/01/01 00:00:00+00,,,,,,,1771.051636,187.1894313,
1177,107 N Elm St,4.22012E+11,37,3,,Park Place Condo Association,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,21217.33679,1082.317043,
1178,504 W Beardsley Ave,4.22012E+11,4,2,,504 W Beardsley,,,Building,,1970/01/01 00:00:00+00,,,,,,,1387.619751,163.6322265,
1179,703 W Park Ave,4.22012E+11,4,2,,703 W Park,,,House,,1970/01/01 00:00:00+00,,,,,,Yes,1539.243286,177.8967693,
1180,1013 W Church St,4.22011E+11,6,2,,1013 W Church,,,House,,1970/01/01 00:00:00+00,,,,,,Yes,1529.295898,175.9384832,
1181,1011 W Church St,4.22011E+11,4,2,,1011 W Church,,,House,,1970/01/01 00:00:00+00,,,,,,,1393.248901,168.2393097,
1182,922 Pomona Dr,4.1201E+11,4,2,,922 Pomona Dr,Tuscany Ridge Townhomes,,Complex,,1970/01/01 00:00:00+00,,,,,,,556.5198975,105.5388755,
1183,913 W Church St,4.22011E+11,10,2,,913 W Church,,,House,,1970/01/01 00:00:00+00,,,,,,Yes,2507.302124,206.0153039,
1184,911 W Church St,4.22011E+11,4,2,,911 W Church,,,House,,1970/01/01 00:00:00+00,,,,,,Yes,1989.286865,197.8139305,
1185,412 W Green St,4.32013E+11,4,2,,412 W Green,,,House,,1970/01/01 00:00:00+00,,,,,,,1542.592651,165.7972879,
1186,718 S State St,4.32013E+11,2,2,,718 S State,,,House,,1970/01/01 00:00:00+00,,,,,,,1668.882813,199.647714,
1187,1514 Grandview Dr,4.32013E+11,9,2,,1514 Grandview,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,3081.609741,230.3274235,
1188,3116 Palmer Dr,4.62029E+11,12,3,,3116 Palmer,The Flats,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,5301.505005,320.8285455,
1189,3122 Palmer Dr,4.62029E+11,12,3,,3122 Palmer,The Flats,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,5351.575195,322.4762969,
1190,3128 Palmer Dr,4.62029E+11,12,3,,3128 Palmer,The Flats,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,5661.719116,330.8697652,
1191,3134 Palmer Dr,4.62029E+11,12,3,,3134 Palmer,The Flats,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,5661.738281,330.8701602,
1192,203 W Maple St,4.22012E+11,4,2,,203 W Maple,,,House,,1970/01/01 00:00:00+00,,,,,,,1164.859619,137.4808094,
1193,406 W Hill St,4.22012E+11,3,3,,406 W Hill,,,Building,,1970/01/01 00:00:00+00,,,,,,,1761.380737,181.1557777,
1195,312 W Springfield Ave,4.22012E+11,4,2,,312 W Springfield,,,House,,1970/01/01 00:00:00+00,,,,,,,1643.897339,167.6671698,
1196,404 W Washington St,4.22012E+11,4,2,,404 W Washington,,,House,,1970/01/01 00:00:00+00,,,,,,,1646.247925,188.81792,
1197,407 W Columbia Ave,4.22012E+11,4,2,,407 Columbia,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,1811.899292,184.9825621,
1198,506 N Elm St,4.22012E+11,4,2,,506 N Elm,,,House,,1970/01/01 00:00:00+00,,,,,,,1491.814819,180.8489694,
1199,112 E Green St,462118104015 & 462118104016,52,5,,112 E Green,,,Over Commercial,,1970/01/01 00:00:00+00,,,,,,Yes,16954.74744,713.5240778,
